customer_id,cust_name,cust_email,cust_phone,cust_active,cust_district,cust_postcode,cust_city,cust_country
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sains_dvd_rentalcustomer.org,272572357893,1,"Northern Cape",72192,Kimberley,"South Africa"
20,"SHARON ROBINSON",SHARON.ROBINSON@sains_dvd_rentalcustomer.org,144453869132,1,"Nothwest Border Prov",21954,Mardan,Pakistan
21,"MICHELLE CLARK",MICHELLE.CLARK@sains_dvd_rentalcustomer.org,892775750063,1,Dhaka,34418,Tangail,Bangladesh
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sains_dvd_rentalcustomer.org,161968374323,1,Rabat-Sal-Zammour-Z,37551,Sal,Morocco
23,"SARAH LEWIS",SARAH.LEWIS@sains_dvd_rentalcustomer.org,902731229323,1,Liepaja,7716,Liepaja,Latvia
24,"KIMBERLY LEE",KIMBERLY.LEE@sains_dvd_rentalcustomer.org,934730187245,1,Crdoba,99865,Crdoba,Argentina
25,"DEBORAH WALKER",DEBORAH.WALKER@sains_dvd_rentalcustomer.org,196495945706,1,Sind,99780,Shikarpur,Pakistan
26,"JESSICA HALL",JESSICA.HALL@sains_dvd_rentalcustomer.org,998009777982,1,,58327,"Citt del Vaticano","Holy See (Vatican City State)"
27,"SHIRLEY ALLEN",SHIRLEY.ALLEN@sains_dvd_rentalcustomer.org,665356572025,1,"Southern Mindanao",49521,Davao,Philippines
28,"CYNTHIA YOUNG",CYNTHIA.YOUNG@sains_dvd_rentalcustomer.org,678220867005,1,Bihar,65599,"Munger (Monghyr)",India
29,"ANGELA HERNANDEZ",ANGELA.HERNANDEZ@sains_dvd_rentalcustomer.org,18461860151,1,Yamaguchi,65750,Shimonoseki,Japan
30,"MELISSA KING",MELISSA.KING@sains_dvd_rentalcustomer.org,525255540978,1,Taipei,50199,Lungtan,Taiwan
31,"BRENDA WRIGHT",BRENDA.WRIGHT@sains_dvd_rentalcustomer.org,745994947458,1,"West Bengali",30348,Kamarhati,India
32,"AMY LOPEZ",AMY.LOPEZ@sains_dvd_rentalcustomer.org,627705991774,1,"Uttar Pradesh",65213,Jhansi,India
33,"ANNA HILL",ANNA.HILL@sains_dvd_rentalcustomer.org,911872220378,1,Piemonte,79388,Alessandria,Italy
34,"REBECCA SCOTT",REBECCA.SCOTT@sains_dvd_rentalcustomer.org,708403338270,1,Okayama,94065,Kurashiki,Japan
35,"VIRGINIA GREEN",VIRGINIA.GREEN@sains_dvd_rentalcustomer.org,440512153169,1,Midi-Pyrnes,34021,Toulouse,France
36,"KATHLEEN ADAMS",KATHLEEN.ADAMS@sains_dvd_rentalcustomer.org,481183273622,1,Markazi,38145,Arak,Iran
37,"PAMELA BAKER",PAMELA.BAKER@sains_dvd_rentalcustomer.org,912257250465,1,Henan,47929,Nanyang,China
38,"MARTHA GONZALEZ",MARTHA.GONZALEZ@sains_dvd_rentalcustomer.org,489783829737,1,Chisinau,34689,Chisinau,Moldova
39,"DEBRA NELSON",DEBRA.NELSON@sains_dvd_rentalcustomer.org,378318851631,1,"Esprito Santo",3989,"Vila Velha",Brazil
40,"AMANDA CARTER",AMANDA.CARTER@sains_dvd_rentalcustomer.org,680768868518,1,Oriental,94399,Nador,Morocco
41,"STEPHANIE MITCHELL",STEPHANIE.MITCHELL@sains_dvd_rentalcustomer.org,42384721397,1,Yerevan,16744,Yerevan,Armenia
42,"CAROLYN PEREZ",CAROLYN.PEREZ@sains_dvd_rentalcustomer.org,471675840679,1,Nonthaburi,61117,"Pak Kret",Thailand
43,"CHRISTINE ROBERTS",CHRISTINE.ROBERTS@sains_dvd_rentalcustomer.org,539758313890,1,Tahiti,48942,Faaa,"French Polynesia"
44,"MARIE TURNER",MARIE.TURNER@sains_dvd_rentalcustomer.org,177727722820,1,Lipetsk,76022,Lipetsk,"Russian Federation"
45,"JANET PHILLIPS",JANET.PHILLIPS@sains_dvd_rentalcustomer.org,675292816413,1,Antofagasta,37359,Antofagasta,Chile
46,"CATHERINE CAMPBELL",CATHERINE.CAMPBELL@sains_dvd_rentalcustomer.org,262076994845,1,"Moscow (City)",23616,Moscow,"Russian Federation"
47,"FRANCES PARKER",FRANCES.PARKER@sains_dvd_rentalcustomer.org,69493378813,1,Cear,52535,"Juazeiro do Norte",Brazil
48,"ANN EVANS",ANN.EVANS@sains_dvd_rentalcustomer.org,705800322606,1,Tatarstan,69367,Niznekamsk,"Russian Federation"
49,"JOYCE EDWARDS",JOYCE.EDWARDS@sains_dvd_rentalcustomer.org,876295323994,1,Mekka,74428,Jedda,"Saudi Arabia"
50,"DIANE COLLINS",DIANE.COLLINS@sains_dvd_rentalcustomer.org,307703950263,1,Khartum,80168,Omdurman,Sudan
51,"ALICE STEWART",ALICE.STEWART@sains_dvd_rentalcustomer.org,171822533480,1,California,48150,Fontana,"United States"
52,"JULIE SANCHEZ",JULIE.SANCHEZ@sains_dvd_rentalcustomer.org,680428310138,1,Galicia,4166,"A Corua (La Corua)",Spain
53,"HEATHER MORRIS",HEATHER.MORRIS@sains_dvd_rentalcustomer.org,697760867968,1,Chiba,38594,Nagareyama,Japan
54,"TERESA ROGERS",TERESA.ROGERS@sains_dvd_rentalcustomer.org,920811325222,1,Yamaguchi,48980,Iwakuni,Japan
55,"DORIS REED",DORIS.REED@sains_dvd_rentalcustomer.org,499352017190,1,Moskova,57807,Balaiha,"Russian Federation"
56,"GLORIA COOK",GLORIA.COOK@sains_dvd_rentalcustomer.org,347487831378,1,Tahiti,39072,Papeete,"French Polynesia"
57,"EVELYN MORGAN",EVELYN.MORGAN@sains_dvd_rentalcustomer.org,889318963672,1,Vaduz,45428,Vaduz,Liechtenstein
58,"JEAN BELL",JEAN.BELL@sains_dvd_rentalcustomer.org,212869228936,1,Sarawak,69226,Kuching,Malaysia
59,"CHERYL MURPHY",CHERYL.MURPHY@sains_dvd_rentalcustomer.org,800024380485,1,Karnataka,94352,Mysore,India
60,"MILDRED BAILEY",MILDRED.BAILEY@sains_dvd_rentalcustomer.org,250767749542,1,Rajasthan,55561,Jaipur,India
61,"KATHERINE RIVERA",KATHERINE.RIVERA@sains_dvd_rentalcustomer.org,1395251317,1,Basel-Stadt,83980,Basel,Switzerland
62,"JOAN COOPER",JOAN.COOPER@sains_dvd_rentalcustomer.org,914090181665,1,Missouri,85505,"Saint Louis","United States"
63,"ASHLEY RICHARDSON",ASHLEY.RICHARDSON@sains_dvd_rentalcustomer.org,491001136577,1,Nebraska,67055,Lincoln,"United States"
64,"JUDITH COX",JUDITH.COX@sains_dvd_rentalcustomer.org,333489324603,0,Sichuan,70385,Daxian,China
65,"ROSE HOWARD",ROSE.HOWARD@sains_dvd_rentalcustomer.org,409983924481,1,Cayenne,71110,Cayenne,"French Guiana"
66,"JANICE WARD",JANICE.WARD@sains_dvd_rentalcustomer.org,663449333709,1,"Skne ln",96109,Malm,Sweden
67,"KELLY TORRES",KELLY.TORRES@sains_dvd_rentalcustomer.org,947233365992,1,Hunan,5135,Xiangtan,China
68,"NICOLE PETERSON",NICOLE.PETERSON@sains_dvd_rentalcustomer.org,990214419142,1,"Madhya Pradesh",48960,Shivapuri,India
69,"JUDY GRAY",JUDY.GRAY@sains_dvd_rentalcustomer.org,107137400143,1,Bchar,59025,Bchar,Algeria
70,"CHRISTINA RAMIREZ",CHRISTINA.RAMIREZ@sains_dvd_rentalcustomer.org,407733804223,1,Mekka,6856,al-Hawiya,"Saudi Arabia"
71,"KATHY JAMES",KATHY.JAMES@sains_dvd_rentalcustomer.org,565018274456,1,"Eastern Visayas",50805,Baybay,Philippines
72,"THERESA WATSON",THERESA.WATSON@sains_dvd_rentalcustomer.org,255800440636,1,"National Capital Reg",75444,Taguig,Philippines
73,"BEVERLY BROOKS",BEVERLY.BROOKS@sains_dvd_rentalcustomer.org,427454485876,1,Chiayi,60951,Chiayi,Taiwan
74,"DENISE KELLY",DENISE.KELLY@sains_dvd_rentalcustomer.org,241832790687,1,"So Paulo",20207,"Rio Claro",Brazil
75,"TAMMY SANDERS",TAMMY.SANDERS@sains_dvd_rentalcustomer.org,251164340471,1,Changhwa,72394,Changhwa,Taiwan
76,"IRENE PRICE",IRENE.PRICE@sains_dvd_rentalcustomer.org,896314772871,1,Pavlodar,98889,Pavlodar,Kazakstan
77,"JANE BENNETT",JANE.BENNETT@sains_dvd_rentalcustomer.org,918711376618,1,"So Paulo",9223,Araatuba,Brazil
78,"LORI WOOD",LORI.WOOD@sains_dvd_rentalcustomer.org,875756771675,1,"Uttar Pradesh",96709,"Rae Bareli",India
79,"RACHEL BARNES",RACHEL.BARNES@sains_dvd_rentalcustomer.org,18581624103,1,Kanagawa,1079,Kamakura,Japan
80,"MARILYN ROSS",MARILYN.ROSS@sains_dvd_rentalcustomer.org,701457319790,1,"Oyo & Osun",20936,Ife,Nigeria
81,"ANDREA HENDERSON",ANDREA.HENDERSON@sains_dvd_rentalcustomer.org,223664661973,1,Mahajanga,37307,Mahajanga,Madagascar
82,"KATHRYN COLEMAN",KATHRYN.COLEMAN@sains_dvd_rentalcustomer.org,821972242086,1,Krim,9495,Simferopol,Ukraine
83,"LOUISE JENKINS",LOUISE.JENKINS@sains_dvd_rentalcustomer.org,800716535041,1,Gauteng,74671,Springs,"South Africa"
84,"SARA PERRY",SARA.PERRY@sains_dvd_rentalcustomer.org,48417642933,1,Puebla,67912,Atlixco,Mexico
85,"ANNE POWELL",ANNE.POWELL@sains_dvd_rentalcustomer.org,720998247660,1,England,88002,Bradford,"United Kingdom"
86,"JACQUELINE LONG",JACQUELINE.LONG@sains_dvd_rentalcustomer.org,135117278909,1,Songkhla,84931,Songkhla,Thailand
87,"WANDA PATTERSON",WANDA.PATTERSON@sains_dvd_rentalcustomer.org,198123170793,1,Sucre,29932,Sincelejo,Colombia
88,"BONNIE HUGHES",BONNIE.HUGHES@sains_dvd_rentalcustomer.org,978987363654,1,Cheju,82624,Cheju,"South Korea"
89,"JULIA FLORES",JULIA.FLORES@sains_dvd_rentalcustomer.org,846225459260,1,"Buenos Aires",75543,"La Plata",Argentina
90,"RUBY WASHINGTON",RUBY.WASHINGTON@sains_dvd_rentalcustomer.org,991562402283,1,Guangdong,25958,Meixian,China
91,"LOIS BUTLER",LOIS.BUTLER@sains_dvd_rentalcustomer.org,345679835036,1,"Brunei and Muara",52163,"Bandar Seri Begawan",Brunei
92,"TINA SIMMONS",TINA.SIMMONS@sains_dvd_rentalcustomer.org,132986892228,1,Gois,17119,Goinia,Brazil
93,"PHYLLIS FOSTER",PHYLLIS.FOSTER@sains_dvd_rentalcustomer.org,275595571388,1,"Inner Mongolia",49021,Zalantun,China
94,"NORMA GONZALES",NORMA.GONZALES@sains_dvd_rentalcustomer.org,835433605312,1,Caraga,53182,Bislig,Philippines
95,"PAULA BRYANT",PAULA.BRYANT@sains_dvd_rentalcustomer.org,4764773857,1,Punjab,22870,Pathankot,India
96,"DIANA ALEXANDER",DIANA.ALEXANDER@sains_dvd_rentalcustomer.org,6171054059,1,Georgia,30695,"Augusta-Richmond County","United States"
97,"ANNIE RUSSELL",ANNIE.RUSSELL@sains_dvd_rentalcustomer.org,817248913162,1,Tete,71986,Tete,Mozambique
98,"LILLIAN GRIFFIN",LILLIAN.GRIFFIN@sains_dvd_rentalcustomer.org,412903167998,1,"Abu Dhabi",92265,al-Ayn,"United Arab Emirates"
99,"EMILY DIAZ",EMILY.DIAZ@sains_dvd_rentalcustomer.org,333339908719,1,Kyongsangbuk,51540,Kimchon,"South Korea"
100,"ROBIN HAYES",ROBIN.HAYES@sains_dvd_rentalcustomer.org,942570536750,1,Lipetsk,97287,Jelets,"Russian Federation"
101,"PEGGY MYERS",PEGGY.MYERS@sains_dvd_rentalcustomer.org,196568435814,1,Asir,77459,Abha,"Saudi Arabia"
102,"CRYSTAL FORD",CRYSTAL.FORD@sains_dvd_rentalcustomer.org,709935135487,1,"Ha Darom",49708,Ashdod,Israel
103,"GLADYS HAMILTON",GLADYS.HAMILTON@sains_dvd_rentalcustomer.org,484292626944,1,"Kwara & Kogi",3305,Ilorin,Nigeria
104,"RITA GRAHAM",RITA.GRAHAM@sains_dvd_rentalcustomer.org,449216226468,1,Provence-Alpes-Cte,80720,Toulon,France
105,"DAWN SULLIVAN",DAWN.SULLIVAN@sains_dvd_rentalcustomer.org,963887147572,1,Funafuti,76383,Funafuti,Tuvalu
106,"CONNIE WALLACE",CONNIE.WALLACE@sains_dvd_rentalcustomer.org,547003310357,1,Ivanovo,78311,Ivanovo,"Russian Federation"
107,"FLORENCE WOODS",FLORENCE.WOODS@sains_dvd_rentalcustomer.org,330838016880,1,"Buenos Aires",9599,Merlo,Argentina
108,"TRACY COLE",TRACY.COLE@sains_dvd_rentalcustomer.org,371490777743,1,Mxico,93026,Huixquilucan,Mexico
109,"EDNA WEST",EDNA.WEST@sains_dvd_rentalcustomer.org,622255216127,1,"North West",30418,Klerksdorp,"South Africa"
110,"TIFFANY JORDAN",TIFFANY.JORDAN@sains_dvd_rentalcustomer.org,379804592943,1,Hubei,61069,Enshi,China
111,"CARMEN OWENS",CARMEN.OWENS@sains_dvd_rentalcustomer.org,272234298332,1,"Distrito Federal",75834,Caracas,Venezuela
112,"ROSA REYNOLDS",ROSA.REYNOLDS@sains_dvd_rentalcustomer.org,824370924746,1,California,87057,Lancaster,"United States"
113,"CINDY FISHER",CINDY.FISHER@sains_dvd_rentalcustomer.org,358178933857,1,Sucre,10885,Cuman,Venezuela
114,"GRACE ELLIS",GRACE.ELLIS@sains_dvd_rentalcustomer.org,886636413768,1,Nordrhein-Westfalen,24321,Duisburg,Germany
115,"WENDY HARRISON",WENDY.HARRISON@sains_dvd_rentalcustomer.org,867546627903,1,Mxico,75149,Nezahualcyotl,Mexico
116,"VICTORIA GIBSON",VICTORIA.GIBSON@sains_dvd_rentalcustomer.org,386759646229,1,"Central Java",63502,Pemalang,Indonesia
117,"EDITH MCDONALD",EDITH.MCDONALD@sains_dvd_rentalcustomer.org,577812616052,1,Gujarat,73644,Gandhinagar,India
118,"KIM CRUZ",KIM.CRUZ@sains_dvd_rentalcustomer.org,909029256431,1,Texas,78625,"Grand Prairie","United States"
119,"SHERRY MARSHALL",SHERRY.MARSHALL@sains_dvd_rentalcustomer.org,787654415858,1,al-Qalyubiya,96065,"Shubra al-Khayma",Egypt
120,"SYLVIA ORTIZ",SYLVIA.ORTIZ@sains_dvd_rentalcustomer.org,765345144779,1,Risaralda,76157,"Dos Quebradas",Colombia
121,"JOSEPHINE GOMEZ",JOSEPHINE.GOMEZ@sains_dvd_rentalcustomer.org,665993880048,1,"Uttar Pradesh",58186,Etawah,India
122,"THELMA MURRAY",THELMA.MURRAY@sains_dvd_rentalcustomer.org,937222955822,1,Lima,64615,Lima,Peru
123,"SHANNON FREEMAN",SHANNON.FREEMAN@sains_dvd_rentalcustomer.org,677976133614,1,"Uttar Pradesh",6804,"Varanasi (Benares)",India
124,"SHEILA WELLS",SHEILA.WELLS@sains_dvd_rentalcustomer.org,614935229095,0,Ktahya,45142,Ktahya,Turkey
125,"ETHEL WEBB",ETHEL.WEBB@sains_dvd_rentalcustomer.org,490211944645,1,Gauteng,60304,Boksburg,"South Africa"
126,"ELLEN SIMPSON",ELLEN.SIMPSON@sains_dvd_rentalcustomer.org,582835362905,1,"So Paulo",66255,Po,Brazil
127,"ELAINE STEVENS",ELAINE.STEVENS@sains_dvd_rentalcustomer.org,237426099212,1,Smolensk,8439,Smolensk,"Russian Federation"
128,"MARJORIE TUCKER",MARJORIE.TUCKER@sains_dvd_rentalcustomer.org,973047364353,1,Slaskie,4999,Jastrzebie-Zdrj,Poland
129,"CARRIE PORTER",CARRIE.PORTER@sains_dvd_rentalcustomer.org,509492324775,1,Shandong,15819,Liaocheng,China
130,"CHARLOTTE HUNTER",CHARLOTTE.HUNTER@sains_dvd_rentalcustomer.org,935448624185,1,Gois,82639,"guas Lindas de Gois",Brazil
131,"MONICA HICKS",MONICA.HICKS@sains_dvd_rentalcustomer.org,252265130067,1,Taka-Karpatia,14014,Mukateve,Ukraine
132,"ESTHER CRAWFORD",ESTHER.CRAWFORD@sains_dvd_rentalcustomer.org,707169393853,1,"Free State",49757,Botshabelo,"South Africa"
133,"PAULINE HENRY",PAULINE.HENRY@sains_dvd_rentalcustomer.org,321944036800,1,"Coahuila de Zaragoza",83401,Torren,Mexico
134,"EMMA BOYD",EMMA.BOYD@sains_dvd_rentalcustomer.org,23712411567,1,al-Qalyubiya,4285,Qalyub,Egypt
135,"JUANITA MASON",JUANITA.MASON@sains_dvd_rentalcustomer.org,90921003005,1,Maharashtra,5892,Pune,India
136,"ANITA MORALES",ANITA.MORALES@sains_dvd_rentalcustomer.org,146497509724,1,Karnataka,81691,Hubli-Dharwad,India
137,"RHONDA KENNEDY",RHONDA.KENNEDY@sains_dvd_rentalcustomer.org,963369996279,1,Gelderland,11044,Apeldoorn,Netherlands
138,"HAZEL WARREN",HAZEL.WARREN@sains_dvd_rentalcustomer.org,468060467018,1,"Inner Mongolia",85769,Hohhot,China
139,"AMBER DIXON",AMBER.DIXON@sains_dvd_rentalcustomer.org,33173584456,1,Ynlin,57519,Touliu,Taiwan
140,"EVA RAMOS",EVA.RAMOS@sains_dvd_rentalcustomer.org,9099941466,1,Tennessee,13377,Clarksville,"United States"
141,"DEBBIE REYES",DEBBIE.REYES@sains_dvd_rentalcustomer.org,581852137991,1,Hiroshima,93762,Fukuyama,Japan
142,"APRIL BURNS",APRIL.BURNS@sains_dvd_rentalcustomer.org,581174211853,1,Scotland,60562,Dundee,"United Kingdom"
143,"LESLIE GORDON",LESLIE.GORDON@sains_dvd_rentalcustomer.org,923261616249,1,Kilis,97700,Kilis,Turkey
144,"CLARA SHAW",CLARA.SHAW@sains_dvd_rentalcustomer.org,563660187896,1,Minsk,30861,Molodetno,Belarus
145,"LUCILLE HOLMES",LUCILLE.HOLMES@sains_dvd_rentalcustomer.org,918032330119,1,Gauteng,3439,Soshanguve,"South Africa"
146,"JAMIE RICE",JAMIE.RICE@sains_dvd_rentalcustomer.org,206841104594,1,Michigan,90732,"Sterling Heights","United States"
147,"JOANNE ROBERTSON",JOANNE.ROBERTSON@sains_dvd_rentalcustomer.org,597815221267,1,Saitama,99457,Urawa,Japan
148,"ELEANOR HUNT",ELEANOR.HUNT@sains_dvd_rentalcustomer.org,354615066969,1,Saint-Denis,92150,Saint-Denis,Runion
149,"VALERIE BLACK",VALERIE.BLACK@sains_dvd_rentalcustomer.org,885899703621,1,Massachusetts,25545,Brockton,"United States"
150,"DANIELLE DANIELS",DANIELLE.DANIELS@sains_dvd_rentalcustomer.org,632316273199,1,"Michoacn de Ocampo",95444,Hidalgo,Mexico
151,"MEGAN PALMER",MEGAN.PALMER@sains_dvd_rentalcustomer.org,189446090264,1,Shandong,77777,Laiwu,China
152,"ALICIA MILLS",ALICIA.MILLS@sains_dvd_rentalcustomer.org,761379480249,1,Assam,64863,Nagaon,India
153,"SUZANNE NICHOLS",SUZANNE.NICHOLS@sains_dvd_rentalcustomer.org,719202533520,1,"Jakarta Raya",36061,Jakarta,Indonesia
154,"MICHELE GRANT",MICHELE.GRANT@sains_dvd_rentalcustomer.org,499408708580,1,Shanxi,76990,Yuncheng,China
155,"GAIL KNIGHT",GAIL.KNIGHT@sains_dvd_rentalcustomer.org,904253967161,1,Bern,41778,Bern,Switzerland
156,"BERTHA FERGUSON",BERTHA.FERGUSON@sains_dvd_rentalcustomer.org,889538496300,1,"Ondo & Ekiti",21294,Ondo,Nigeria
157,"DARLENE ROSE",DARLENE.ROSE@sains_dvd_rentalcustomer.org,368899174225,1,Pyongyang-si,53502,Pyongyang,"North Korea"
158,"VERONICA STONE",VERONICA.STONE@sains_dvd_rentalcustomer.org,170117068815,1,"North Carolina",66639,Greensboro,"United States"
159,"JILL HAWKINS",JILL.HAWKINS@sains_dvd_rentalcustomer.org,931059836497,1,"North Austria",81037,Linz,Austria
160,"ERIN DUNN",ERIN.DUNN@sains_dvd_rentalcustomer.org,149981248346,1,Moskova,81511,Ljubertsy,"Russian Federation"
161,"GERALDINE PERKINS",GERALDINE.PERKINS@sains_dvd_rentalcustomer.org,177167004331,1,"Tel Aviv",44660,"Tel Aviv-Jaffa",Israel
162,"LAUREN HUDSON",LAUREN.HUDSON@sains_dvd_rentalcustomer.org,168476538960,1,"Pays de la Loire",22853,"Le Mans",France
163,"CATHY SPENCER",CATHY.SPENCER@sains_dvd_rentalcustomer.org,819416131190,1,Gifu,57844,Kakamigahara,Japan
164,"JOANN GARDNER",JOANN.GARDNER@sains_dvd_rentalcustomer.org,697151428760,1,Adana,3313,Tarsus,Turkey
165,"LORRAINE STEPHENS",LORRAINE.STEPHENS@sains_dvd_rentalcustomer.org,935508855935,1,Xinxiang,62250,Hami,China
166,"LYNN PAYNE",LYNN.PAYNE@sains_dvd_rentalcustomer.org,843801144113,1,Lilongwe,76901,Lilongwe,Malawi
167,"SALLY PIERCE",SALLY.PIERCE@sains_dvd_rentalcustomer.org,182363341674,1,Maharashtra,62686,Chandrapur,India
168,"REGINA BERRY",REGINA.BERRY@sains_dvd_rentalcustomer.org,201705577290,1,Gansu,59571,Jinchang,China
169,"ERICA MATTHEWS",ERICA.MATTHEWS@sains_dvd_rentalcustomer.org,161801569569,0,Jiangxi,70618,Pingxiang,China
170,"BEATRICE ARNOLD",BEATRICE.ARNOLD@sains_dvd_rentalcustomer.org,264541743403,1,Rajasthan,63337,Udaipur,India
171,"DOLORES WAGNER",DOLORES.WAGNER@sains_dvd_rentalcustomer.org,275788967899,1,Perak,58194,Ipoh,Malaysia
172,"BERNICE WILLIS",BERNICE.WILLIS@sains_dvd_rentalcustomer.org,734780743462,1,Batman,47753,Batman,Turkey
173,"AUDREY RAY",AUDREY.RAY@sains_dvd_rentalcustomer.org,493008546874,1,Steiermark,6802,Graz,Austria
174,"YVONNE WATKINS",YVONNE.WATKINS@sains_dvd_rentalcustomer.org,48265851133,1,Miranda,25220,"Ocumare del Tuy",Venezuela
175,"ANNETTE OLSON",ANNETTE.OLSON@sains_dvd_rentalcustomer.org,230250973122,1,Kerala,4854,"Allappuzha (Alleppey)",India
176,"JUNE CARROLL",JUNE.CARROLL@sains_dvd_rentalcustomer.org,506134035434,1,Skikda,89668,Skikda,Algeria
177,"SAMANTHA DUNCAN",SAMANTHA.DUNCAN@sains_dvd_rentalcustomer.org,953689007081,1,Tamaulipas,54132,Matamoros,Mexico
178,"MARION SNYDER",MARION.SNYDER@sains_dvd_rentalcustomer.org,391065549876,1,"So Paulo",47288,"Santa Brbara dOeste",Brazil
179,"DANA HART",DANA.HART@sains_dvd_rentalcustomer.org,866092335135,1,Kirov,35109,Kirovo-Tepetsk,"Russian Federation"
180,"STACY CUNNINGHAM",STACY.CUNNINGHAM@sains_dvd_rentalcustomer.org,104150372603,1,Risaralda,29747,Pereira,Colombia
181,"ANA BRADLEY",ANA.BRADLEY@sains_dvd_rentalcustomer.org,72136330362,1,Tennessee,67497,Memphis,"United States"
182,"RENEE LANE",RENEE.LANE@sains_dvd_rentalcustomer.org,662227486184,1,California,8862,Compton,"United States"
183,"IDA ANDREWS",IDA.ANDREWS@sains_dvd_rentalcustomer.org,947468818183,1,Gois,55709,Luzinia,Brazil
184,"VIVIAN RUIZ",VIVIAN.RUIZ@sains_dvd_rentalcustomer.org,302590383819,1,Noord-Brabant,43310,s-Hertogenbosch,Netherlands
185,"ROBERTA HARPER",ROBERTA.HARPER@sains_dvd_rentalcustomer.org,951486492670,1,"Chaharmahal va Bakht",65121,"Shahr-e Kord",Iran
186,"HOLLY FOX",HOLLY.FOX@sains_dvd_rentalcustomer.org,760171523969,1,"West Bengali",74750,Haldia,India
187,"BRITTANY RILEY",BRITTANY.RILEY@sains_dvd_rentalcustomer.org,855863906434,1,Sumy,38982,Sumy,Ukraine
188,"MELANIE ARMSTRONG",MELANIE.ARMSTRONG@sains_dvd_rentalcustomer.org,650752094490,1,Caraga,58852,Bayugan,Philippines
189,"LORETTA CARPENTER",LORETTA.CARPENTER@sains_dvd_rentalcustomer.org,247646995453,1,Ontario,5379,Oshawa,Canada
190,"YOLANDA WEAVER",YOLANDA.WEAVER@sains_dvd_rentalcustomer.org,352469351088,1,Tabora,49348,Tabora,Tanzania
191,"JEANETTE GREENE",JEANETTE.GREENE@sains_dvd_rentalcustomer.org,812824036424,1,Rostov-na-Donu,65387,Novoterkassk,"Russian Federation"
192,"LAURIE LAWRENCE",LAURIE.LAWRENCE@sains_dvd_rentalcustomer.org,956188728558,1,"Uttar Pradesh",90845,Firozabad,India
193,"KATIE ELLIOTT",KATIE.ELLIOTT@sains_dvd_rentalcustomer.org,940830176580,1,Nyanza,10428,Kisumu,Kenya
194,"KRISTEN CHAVEZ",KRISTEN.CHAVEZ@sains_dvd_rentalcustomer.org,104491201771,1,Tokyo-to,32114,Hino,Japan
195,"VANESSA SIMS",VANESSA.SIMS@sains_dvd_rentalcustomer.org,419419591240,1,Nordrhein-Westfalen,15540,Siegen,Germany
196,"ALMA AUSTIN",ALMA.AUSTIN@sains_dvd_rentalcustomer.org,331132568928,1,Baden-Wrttemberg,36490,Mannheim,Germany
